simulation,timestep,coral_count,turf_count,macroalgae_count,coral_neighbors,turf_neighbors,macroalgae_neighbors,coral_patch_count,algae_patch_count,turf_patch_count,macroalgae_patch_count
6,90,67,91,67,[0.29557112 0.40471066 0.29971822],[0.29961807 0.4008322  0.29954972],[0.30005356 0.40515219 0.29479425],15,1,9,16
6,180,39,94,92,[0.17051571 0.42181624 0.40766805],[0.17423441 0.41729147 0.40847413],[0.1745221  0.42342644 0.40205146],19,1,7,11
6,270,7,90,128,[0.02762341 0.4018229  0.57055369],[0.03120094 0.39577953 0.57301953],[0.03098049 0.40084535 0.56817416],6,1,10,2
6,360,0,78,147,0,[0.         0.34370887 0.65629113],[0.         0.34888139 0.65111861],1,1,16,1
6,450,0,78,147,0,[0.         0.34257843 0.65742157],[0.         0.34823545 0.65176455],1,1,21,1
7,0,73,77,75,[0.32191097 0.34407854 0.33401049],[0.32786549 0.33775972 0.3343748 ],[0.32626655 0.3427801  0.33095335],13,1,11,16
7,90,54,92,79,[0.23427168 0.41286993 0.35285839],[0.24060363 0.40671007 0.3526863 ],[0.24020565 0.41185312 0.34794123],23,1,5,20
7,180,42,84,99,[0.18466489 0.37296842 0.44236669],[0.18741828 0.37018369 0.44239803],[0.18816452 0.37438029 0.43745519],18,1,8,8
7,270,48,77,100,[0.20955052 0.34552003 0.44492945],[0.21366224 0.34084873 0.44548903],[0.21349041 0.34564313 0.44086646],19,1,11,3
7,360,35,77,113,[0.15129686 0.34359424 0.5051089 ],[0.15545203 0.3395946  0.50495337],[0.15564543 0.34387007 0.5004845 ],21,1,12,2
7,450,39,75,111,[0.16658154 0.33570531 0.49771316],[0.17424782 0.32985304 0.49589914],[0.17429749 0.33441188 0.49129063],19,1,12,3
8,0,73,83,69,[0.32321782 0.37088272 0.30589945],[0.32739686 0.36598095 0.30662219],[0.32732283 0.37187176 0.30080541],10,1,6,14
8,90,61,93,71,[0.26672518 0.41669722 0.3165776 ],[0.27118231 0.4119655  0.31685219],[0.27037871 0.41594974 0.31367155],13,2,9,17
8,180,20,91,114,[0.08462449 0.40638766 0.50898785],[0.08994777 0.4017998  0.50825243],[0.08981028 0.40524406 0.50494566],17,1,8,3
8,270,8,73,144,[0.03165171 0.32596797 0.64238032],[0.03609581 0.32232913 0.64157506],[0.03622222 0.32668543 0.63709235],8,1,14,1
8,360,0,82,143,0,[0.         0.36164559 0.63835441],[0.         0.36531556 0.63468444],1,1,12,4
8,450,0,88,137,0,[0.         0.39079684 0.60920316],[0.         0.39442988 0.60557012],1,1,10,2
9,0,71,76,78,[0.31136672 0.34109175 0.34754153],[0.31635188 0.33584744 0.34780068],[0.315835   0.34080247 0.34336253],14,1,8,12
9,90,65,85,75,[0.28878933 0.37819485 0.33301582],[0.29263341 0.37458499 0.3327816 ],[0.29272981 0.3781264  0.32914379],14,1,13,11
9,180,50,87,88,[0.21969346 0.38734211 0.39296443],[0.22521636 0.3836131  0.39117054],[0.22611424 0.38697836 0.3869074 ],19,1,10,11
9,270,26,71,128,[0.1122785  0.31817874 0.56954276],[0.11546004 0.31262529 0.57191468],[0.11440686 0.31627745 0.56931569],15,1,18,3
9,360,2,90,133,[0.00449459 0.39998788 0.59551753],[0.00904676 0.39861637 0.59233687],[0.00913239 0.40095448 0.58991313],2,1,10,2
9,450,0,76,149,0,[0.         0.33292862 0.66707138],[0.         0.33746115 0.66253885],1,1,15,1
