simulation,timestep,coral_count,turf_count,macroalgae_count,coral_neighbors,turf_neighbors,macroalgae_neighbors,coral_patch_count,algae_patch_count,turf_patch_count,macroalgae_patch_count
0,0,76,79,70,[0.33499879 0.35314062 0.31186059],[0.33864242 0.34907151 0.31228607],[0.33877957 0.35371592 0.30750451],13,3,12,17
0,90,60,78,87,[0.26447195 0.34628562 0.38924243],[0.26614825 0.34365432 0.39019742],[0.26663522 0.34774971 0.38561507],20,1,14,7
0,180,40,81,104,[0.17354688 0.3627942  0.46365892],[0.17788146 0.35814459 0.46397395],[0.17752384 0.36222127 0.46025489],19,1,8,4
0,270,22,82,121,[0.09421978 0.36453503 0.54124519],[0.09823241 0.36030305 0.54146454],[0.09796539 0.36388436 0.53815025],18,1,11,4
0,360,4,84,137,[0.01359915 0.37603673 0.61036412],[0.01818644 0.36873955 0.61307401],[0.01796505 0.37337451 0.60866043],4,1,15,1
0,450,0,77,148,0,[0.         0.33965342 0.66034658],[0.         0.34328105 0.65671895],1,1,12,1
1,0,82,67,76,[0.36081964 0.30006426 0.3391161 ],[0.36623562 0.2946179  0.33914648],[0.3653695 0.299513  0.3351175],9,2,17,11
1,90,56,80,89,[0.24607146 0.35551912 0.39840943],[0.24973616 0.35213762 0.39812623],[0.25022518 0.35592825 0.39384658],26,1,11,7
1,180,12,68,145,[0.0481559  0.30248149 0.6493626 ],[0.05370341 0.29580524 0.65049135],[0.05338988 0.30098975 0.64562037],10,1,19,1
1,270,4,77,144,[0.01359331 0.34543855 0.64096815],[0.01815361 0.33869561 0.64315078],[0.01797804 0.34352828 0.63849367],4,1,11,1
1,360,0,86,139,0,[0.         0.37983621 0.62016379],[0.         0.38273474 0.61726526],1,1,8,2
1,450,0,68,157,0,[0.        0.2999323 0.7000677],[0.         0.30347291 0.69652709],1,1,18,2
2,0,74,90,61,[0.32790371 0.40131024 0.27078605],[0.33124731 0.39933299 0.26941971],[0.33249624 0.40085893 0.26664483],18,2,10,17
2,90,100,62,63,[0.44222266 0.27600867 0.28176867],[0.44660044 0.27168058 0.28171898],[0.44581595 0.27551784 0.2786662 ],5,4,22,12
2,180,96,61,68,[0.42310647 0.27249033 0.30440321],[0.42800621 0.26802179 0.303972  ],[0.42812355 0.27223985 0.2996366 ],10,1,19,11
2,270,60,80,85,[0.26230855 0.35463937 0.38305209],[0.26627807 0.35143707 0.38228486],[0.26721658 0.35528313 0.37750029],15,1,13,11
2,360,69,89,67,[0.30479754 0.39591258 0.29928988],[0.3089641  0.39140999 0.29962591],[0.30932727 0.39658509 0.29408763],13,1,8,12
2,450,80,89,56,[0.35307951 0.39674677 0.25017372],[0.35705525 0.39252186 0.25042289],[0.35716211 0.39740679 0.24543111],15,1,10,16
3,0,81,72,72,[0.35856677 0.32021136 0.32122186],[0.36288342 0.31546891 0.32164768],[0.36293844 0.32065016 0.3164114 ],12,1,11,12
3,90,59,93,73,[0.25854623 0.41412155 0.32733222],[0.26442055 0.40924599 0.32633346],[0.26425918 0.41273894 0.32300187],14,1,11,12
3,180,50,90,85,[0.21915812 0.40153203 0.37930985],[0.22370961 0.39607695 0.38021345],[0.22253814 0.40049633 0.37696554],22,1,7,7
3,270,52,84,89,[0.22631817 0.37597162 0.39771021],[0.23052436 0.37018811 0.39928753],[0.22983748 0.37617199 0.39399054],23,1,11,6
3,360,24,75,126,[0.1039552  0.33371677 0.56232803],[0.108298  0.3288221 0.5628799],[0.10809293 0.33344624 0.55846082],10,1,15,3
3,450,8,81,136,[0.03191449 0.36240409 0.60568142],[0.03578535 0.35845056 0.60576409],[0.03582747 0.36283247 0.60134006],7,1,10,1
4,0,59,86,80,[0.25958698 0.38521116 0.35520186],[0.2632593  0.38067905 0.35606165],[0.26273637 0.38537924 0.35188438],17,1,9,16
4,90,54,77,94,[0.23624805 0.34336855 0.4203834 ],[0.24007387 0.33942417 0.42050196],[0.23992568 0.34327465 0.41679967],18,2,13,11
4,180,69,78,78,[0.30297273 0.34794732 0.34907996],[0.30840311 0.3440168  0.34758009],[0.30781921 0.34579086 0.34638993],12,1,13,10
4,270,29,79,117,[0.12412616 0.35249475 0.52337909],[0.129852   0.34719716 0.52295084],[0.12990177 0.35214963 0.5179486 ],12,1,11,4
4,360,7,65,153,[0.02696191 0.28945974 0.68357835],[0.03188421 0.28547125 0.68264454],[0.03186418 0.28888218 0.67925363],6,1,17,1
4,450,1,75,149,[0.         0.33482143 0.66517857],[0.00460526 0.3297339  0.66566084],[0.00457231 0.33280836 0.66261933],1,1,16,1
5,0,72,80,73,[0.31656725 0.35896914 0.32446361],[0.32041616 0.35494581 0.32463804],[0.32072437 0.35967291 0.31960271],12,1,10,16
5,90,43,85,97,[0.18653231 0.37875198 0.43471571],[0.19030941 0.37327108 0.43641951],[0.1900457 0.3794983 0.430456 ],21,2,12,7
5,180,21,89,115,[0.09009572 0.39680616 0.51309812],[0.09430262 0.39376372 0.51193366],[0.09454354 0.39687585 0.50858062],17,1,7,3
5,270,18,83,124,[0.07419012 0.37419414 0.55161574],[0.07948893 0.36835345 0.55215763],[0.07909638 0.37266108 0.54824255],16,1,11,2
5,360,5,75,145,[0.01787316 0.33422486 0.64790199],[0.02301965 0.32838643 0.64859392],[0.02284253 0.33206888 0.64508859],4,1,14,2
5,450,0,86,139,0,[0.         0.37768022 0.62231978],[0.         0.38188464 0.61811536],1,1,8,2
6,0,80,71,74,[0.35474467 0.31631354 0.32894179],[0.35838554 0.31266755 0.32894691],[0.35832868 0.31601809 0.32565323],11,1,13,8
